Likelihood,0 < |s| <= 1e-5,1e-5 < |s| <= 1e-4,1e-4 < |s| <= 1e-3,1e-3 < |s| <= 1e-2,1e-2 < |s| <= 1
-1453.315053751885,0.29254730292668507,0.09708200108928529,0.19411651678144637,0.28203382994061355,0.1342203492619696
-1453.315049742494,0.29254265048094985,0.09709662188641673,0.19410270225047102,0.2820406982153266,0.13421732716683615
-1453.315047023433,0.2925485605793921,0.09708106123848553,0.19411602683289744,0.28203518899274493,0.1342191623564801
-1453.315046673613,0.29254901698780955,0.09708020766663727,0.1941164649313002,0.28203516143930185,0.13421914897495113
-1453.315045059522,0.29254923285030804,0.09708006017472107,0.1941165545505335,0.2820347556650989,0.13421939675933858
-1453.3150429673885,0.29255017881233764,0.0970780371260907,0.19411810298113796,0.28203435237126157,0.13421932870917214
-1453.315041206439,0.29254909517102673,0.09707965555016586,0.1941183736938742,0.2820327666816059,0.13422010890332736
-1453.3150350584267,0.292551629016198,0.09707531229232638,0.19412087927084185,0.2820320474509146,0.1342201319697192
-1453.315034569633,0.2925508034538898,0.09707726294892516,0.194119716548931,0.2820316087348683,0.1342206083133853
-1453.3150311754655,0.2925525045055597,0.09707590147399471,0.19411856970760033,0.28203287689895445,0.1342201474138909
-1453.3150258812109,0.292559929224276,0.09705911233457015,0.19412985431110935,0.2820337224482427,0.13421738168180178
-1453.3150008721275,0.29256197238539994,0.09706021378219999,0.19412920238212908,0.28202505327183525,0.13422355817843643
-1453.31499489063,0.29259969427782767,0.09703180241985174,0.19409582619253854,0.28205415204997153,0.13421852505981055
-1453.3149871616265,0.29256021917177416,0.09707979972070412,0.19410524671415272,0.2820260426913573,0.13422869170201182
-1453.314983790075,0.2925241025812893,0.09715333367917263,0.19407648239809983,0.28199065937951906,0.13425542196191917
-1453.3149664241887,0.29256493555120855,0.09699424422610772,0.19427882201807095,0.2818423157930572,0.13431968241155606
-1453.3149025200198,0.2925711977596321,0.09708243600736251,0.19408329613999462,0.2820782384215214,0.13418483167148926
-1453.3148595374298,0.29276205147426554,0.09679482135650587,0.19417509232992375,0.282043345794971,0.1342246890443337
-1453.3148262099255,0.29267209538952055,0.09699896374493963,0.19404510067872027,0.28210072727318114,0.1341831129136387
-1453.31479993234,0.29256897885827476,0.09704434414638742,0.1941949279537601,0.2819145334379646,0.13427722141558618
-1453.3147396613904,0.29287532137005984,0.09644996905225525,0.1945549126185119,0.2817626551196823,0.13435714183949013
-1453.3146319644986,0.2927600747076626,0.09681492843643444,0.19421355941255575,0.28191645541667126,0.13429498202667606
-1453.3146015452783,0.29270170988006905,0.09678707195409422,0.19438065050509243,0.28180278673726095,0.13432778092348333
-1453.3143927083813,0.29271419515850544,0.09684315821384908,0.1943356065465873,0.28175509271849525,0.13435194736257447
-1453.3143880984587,0.2927459132308365,0.09672528818066617,0.19450039254121615,0.281628127811693,0.1344002811153507
